gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
GPRC5A,expr,0.008499310434742186,13
SYTL2,expr,0.0038050592302170116,13
THBS1,expr,0.003414711892569008,13
PLAAT3,expr,0.003192442135514284,13
MYOF,expr,0.0029984057358048563,13
TM4SF18,expr,0.0027301666564898577,13
GPRC5B,expr,0.0026538204531159583,13
MDFI,expr,0.0025166316750423554,13
RGL3,expr,0.0023129056149068326,13
EPS8,expr,0.0022544415061509847,13
ADGRG1,expr,0.002115152106538377,13
PLK2,expr,0.002096845520939566,13
LXN,expr,0.0020754901902714316,13
SDC4,expr,0.0019991883477464747,13
TM4SF1,expr,0.0019237497891971054,13
KDELR3,expr,0.0019073052467669745,13
PRSS23,expr,0.0018635653910818151,13
IGFBP4,expr,0.0018555526089935133,13
FOXA2,cnv,0.0018195180969786844,13
MC3R,cnv,0.0016890237541072285,13
CPVL,expr,0.0016088765777777343,13
CLPS,cnv,0.001461284967472938,13
MYB,cnv,0.0013366961182048097,13
S100A16,expr,0.0012998525799048366,13
ITGA3,expr,0.0012712759875844663,13
AMOTL2,expr,0.0012224412271629821,13
S100A13,expr,0.001211319738453872,13
ABLIM3,expr,0.0010596075499926462,13
NQO1,expr,0.0010504231059502882,13
MFAP2,expr,0.0010429322447425176,13
