gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
GPRC5A,expr,0.0013738318167078863,38
SDC4,expr,0.0007405291370571975,38
MYOF,expr,0.0006298152906023652,38
SLFN11,expr,0.0005105871149049491,38
EPB41L3,expr,0.0005007684451895425,38
CLPS,cnv,0.0004639304341038185,38
KDELR3,expr,0.0004605983686504164,38
LAMB2,expr,0.00045621553662337984,38
LIF,expr,0.0004396188252497412,38
PRSS23,expr,0.0003811397986631367,38
SYTL2,expr,0.0003766949659058427,38
CORO1A,expr,0.00036934196567160954,38
ASS1,expr,0.0003591825906022151,38
GPRC5B,expr,0.0003581266844291445,38
GPX8,expr,0.0003395663092586993,38
PLK2,expr,0.00033820270428015266,38
CD40,expr,0.0003379138331327992,38
NREP,expr,0.0003269437196781598,38
RAMP1,expr,0.00031083289226635795,38
EPS8,expr,0.00030511919527797496,38
TM4SF18,expr,0.0003050900641746442,38
MET,expr,0.0002992090600495083,38
ARHGAP29,expr,0.0002967523312834505,38
SLC38A5,expr,0.0002844786104004907,38
ADGRG1,expr,0.000278676095119504,38
CCL3L3,cnv,0.0002768921790567746,38
S100A2,expr,0.0002696185594782276,38
ITGA3,expr,0.00026912458544396596,38
PPIC,expr,0.00026772338985306545,38
AQP3,expr,0.000264912953127057,38
