gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
GPRC5A,expr,0.0013335525304150374,111
MYOF,expr,0.0010580593143540765,111
CORO1A,expr,0.000701603418960289,111
LAMB2,expr,0.0006144507387805763,111
CLPS,cnv,0.00057650607801521,111
SDC4,expr,0.0005704884715700049,111
NQO1,expr,0.0005638849793239682,111
SYTL2,expr,0.0005600025653747834,111
SLFN11,expr,0.000558107028664094,111
THBS1,expr,0.0005259871915424466,111
MGLL,expr,0.000516453619531382,111
KDELR3,expr,0.0005159492510631582,111
EPS8,expr,0.0004476717320866154,111
ABCC3,expr,0.0004462062309251344,111
NREP,expr,0.00044435539023207876,111
ITGA3,expr,0.0004436290315078958,111
ASPH,expr,0.0004367614910222016,111
AMOTL2,expr,0.00040306254956411,111
YAP1,expr,0.0003957237752635555,111
EPHA2,expr,0.00038351624091667764,111
RGL3,expr,0.00037933465744537635,111
PLAAT3,expr,0.0003727918374157558,111
TNFRSF12A,expr,0.0003648439759281082,111
WWTR1,expr,0.00036335793855037617,111
ABLIM3,expr,0.00035067803033242043,111
TM4SF18,expr,0.00034150943191139666,111
ADGRG1,expr,0.0003406359510366914,111
PLK2,expr,0.00033349021570121,111
GPX8,expr,0.0003316641535611616,111
TM4SF1,expr,0.0003311077556346546,111
