gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
TP53,mut,0.0011051491837292815,24
MYOF,expr,0.0010224703935932666,24
NQO1,expr,0.0008650279606475427,24
GULP1,expr,0.0007233775541711415,24
SYTL2,expr,0.0007182923163024194,24
CORO1A,expr,0.0007086022383191448,24
CCL3L3,cnv,0.0006101424630458041,24
SDC4,expr,0.0006074521487515009,24
IKZF1,expr,0.0005917014033703557,24
AKR1C2,expr,0.0005597880186011631,24
MFNG,expr,0.0005428262211353285,24
EEF1A2,expr,0.0005395602589336098,24
KRT7,expr,0.0005192877042077271,24
GPRC5A,expr,0.0005108850292572242,24
LDOC1,expr,0.0005103731913701873,24
MET,expr,0.0005036287804974412,24
ITM2A,expr,0.0005028958872041281,24
CAV1,expr,0.0004958594573546785,24
GPRC5B,expr,0.0004889797600450644,24
CLEC11A,expr,0.0004790785250558353,24
DUSP6,expr,0.00047299730295928083,24
DUSP23,expr,0.00047208429617739966,24
ZSCAN18,expr,0.00046094972756804964,24
GPR33,cnv,0.0004599925491343508,24
PAPSS2,expr,0.0004581113520885083,24
MATN2,expr,0.00044077545758192116,24
INPP5D,expr,0.00043790167469145064,24
MYO1E,expr,0.00043028765157752485,24
AKR1B10,expr,0.00042969762732051703,24
PHLDA1,expr,0.0004173133136191609,24
