gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
GPRC5A,expr,0.002019313696509276,105
MET,expr,0.0010372385774103134,105
RGL3,expr,0.0008996213452432823,105
SDC4,expr,0.0008663399797773948,105
NREP,expr,0.0008183322644635198,105
ADGRG1,expr,0.00067944604956037,105
SYTL2,expr,0.0006323146219212309,105
THBS1,expr,0.0006151533655494035,105
CLPS,cnv,0.0006136980177004824,105
ITGA3,expr,0.0006098932059070908,105
DUSP6,expr,0.0005407035899961123,105
EPS8,expr,0.0005367915813394575,105
LXN,expr,0.0005086432438323148,105
CPVL,expr,0.0005028649376548682,105
S100A9,expr,0.0005026605138401205,105
CORO1A,expr,0.0004971582411642539,105
PHLDA1,expr,0.0004818330403682445,105
PPIC,expr,0.00048109400426190924,105
GPRC5B,expr,0.0004762026254021683,105
CCL3L3,cnv,0.0004730846498695146,105
TNFRSF12A,expr,0.00046962505091685324,105
PLK2,expr,0.00046616930685667327,105
MLPH,expr,0.00046213557443533797,105
PLAAT3,expr,0.00046040991690980655,105
MYOF,expr,0.0004563956792413224,105
PRSS23,expr,0.0004447716359379683,105
S100A13,expr,0.00044430184995386903,105
GPX8,expr,0.0004375405321373667,105
DLC1,expr,0.00042473834716713014,105
KDELR3,expr,0.0004215631653561927,105
